Name,Canonical_Smiles,SMARTS
{CIS-9:10-EPOXY-12-HYDROXY-STEARIC ACID METHYL ESTER},CCCCCCC(O)CC1OC1CCCCCCCC(=O)OC,[#6]1(-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]-[#6])-[#8]-[#6]1-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]
{JUVENILE HORMONE III},COC(=O)\C=C(/C)\CC\C=C(/C)\CCC1OC1(C)C,[#6]1(-[#6]-[#6]\-[#6](\-[#6])=[#6]\-[#6]-[#6]\-[#6](\-[#6])=[#6]\-[#6](=[#8])-[#8]-[#6])-[#8]-[#6]1(-[#6])-[#6]
{4-TERT-BUTYLBENZOIC ACID GLYCIDYL ESTER},CC(C)(C)c1ccc(cc1)C(=O)OCC2CO2,[c]1(-[#6](=[#8])-[#8]-[#6]-[#6]2-[#8]-[#6]2):[c]:[c]:[c](-[#6](-[#6])(-[#6])-[#6]):[c]:[c]1
{HEPTAFLUOROBUTYL EPOXIDE},FC(F)(F)C(F)(F)C(F)(F)CC1CO1,[#6](-[#9])(-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#6](-[#9])(-[#9])-[#6]-[#6]1-[#8]-[#6]1
"{11-OCTATRICYCLO[4,4,1,0(1,6)]UNDECA-3,8-DIENE}",C1C=CCC23CC=CCC12O3,[#6]123-[#6](-[#8]1)(-[#6]-[#6]=[#6]-[#6]2)-[#6]-[#6]=[#6]-[#6]3
{N-BENZYL-6-OXABICYCLO[3.1.0]HEXANE-3-CARBOXAMIDE},O=C(NCc1ccccc1)[C@@H]2C[C@@H]3O[C@@H]3C2,[#6@@]12-[#6@@](-[#8]1)-[#6]-[#6@@](-[#6](=[#8])-[#7]-[#6]-[c]3:[c]:[c]:[c]:[c]:[c]3)-[#6]2
{[2-(BENZYLOXY)PHENYL][3-(2-FURYL)OXIRAN-2-YL]METHANONE},O=C(C1OC1c2occc2)c3ccccc3OCc4ccccc4,[#6]1(-[c]2:[o]:[c]:[c]:[c]2)-[#8]-[#6]1-[#6](=[#8])-[c]3:[c]:[c]:[c]:[c]:[c]3-[#8]-[#6]-[c]4:[c]:[c]:[c]:[c]:[c]4
{TRILOSTANE},C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=C(C[C@]35C)C#N)O)[C@@H]1CC[C@@H]2O,[#6@]12(-[#6@](-[#1])(-[#8]1)-[#6](=[#6](-[#6]#[#7])-[#6]3)-[#8])-[#6@@]3(-[#6])-[#6@]4(-[#1])-[#6@@](-[#1])(-[#6]-[#6]2)-[#6@@]5(-[#1])-[#6@@](-[#6]-[#6]4)(-[#6])-[#6@](-[#6]-[#6]5)-[#8]
{6-(METHYLSULFONYL)-1-(OXIRAN-2-YLMETHOXY)-1H-INDOLE},CS(=O)(=O)c1ccc2ccn(OCC3CO3)c2c1,[c]12:[c](:[c]:[c]:[c](-[#16](=[#8])(=[#8])-[#6]):[c]1):[c]:[c]:[n]2-[#8]-[#6]-[#6]3-[#8]-[#6]3
{CALODENDROLIDE},CC1=CCC[C@@]2(C)[C@@H](OC(=O)[C@H]3O[C@]123)c4cocc4,[#6@@]12(-[#6@](-[#1])(-[#8]1)-[#6](-[#8]-[#6@]3-[c]4:[c]:[o]:[c]:[c]4)=[#8])-[#6@@]3(-[#6])-[#6]-[#6]-[#6]=[#6]2-[#6]
"{METHYL-2,3-ANHYDRO-4,6-O-BENZYLIDENE-ALPHA-D-MANNO-PYRANOSIDE}",CO[C@H]1O[C@@H]2COC(O[C@H]2[C@@H]3O[C@H]13)c4ccccc4,[#6@]12(-[#1])-[#6@](-[#1])(-[#8]1)-[#6@@](-[#8]-[#6])-[#8]-[#6@](-[#1])(-[#6]-[#8]-[#6](-[c]3:[c]:[c]:[c]:[c]:[c]3)-[#8]4)-[#6@]24-[#1]
"{3,6-DICHLORO-9-(OXIRAN-2-YLMETHYL)-9H-CARBAZOLE}",Clc1ccc2c(c1)c3cc(Cl)ccc3n2CC4CO4,[c]12:[c](:[c]:[c](:[c]:[c]1)-[#17]):[c](:[c]3:[n]2-[#6]-[#6]4-[#8]-[#6]4):[c]:[c](:[c]:[c]3)-[#17]
"{2,A-EPOXYTETRAL-1-ONE}",O=C1c2ccccc2CCC13CO3,[#6]12(-[#6]-[#6]-[c](:[c]:[c]:[c]:[c]3):[c]3-[#6]1=[#8])-[#8]-[#6]2
"{3-(3,4-DIMETHOXYPHENYL)-1-PERHYDRO-1-BENZOXIREN-1-YLPROP-2-EN-1-ONE}",COc1ccc(\C=C\C(=O)C23CCCCC2O3)cc1OC,[#6]12(-[#6](=[#8])\-[#6]=[#6]\-[c]3:[c]:[c]:[c](-[#8]-[#6]):[c](-[#8]-[#6]):[c]3)-[#6](-[#8]1)-[#6]-[#6]-[#6]-[#6]2
"{3-(DIMETHYLAMINO)-1-(2,3-DIMETHYLOXIRAN-2-YL)PROP-2-EN-1-ONE}",CC1OC1(C)C(=O)\C=C\N(C)C,[#6]1(-[#6])(-[#6](=[#8])\-[#6]=[#6]\-[#7](-[#6])-[#6])-[#8]-[#6]1-[#6]
"{(3,3-DIMETHYLOXIRAN-2-YL)(5-HYDROXYBENZO[B]FURAN-3-YL)METHANONE}",CC1(C)OC1C(=O)c2coc3ccc(O)cc23,[c]12:[c](:[c]:[c]:[c](-[#8]):[c]1):[o]:[c]:[c]2-[#6](=[#8])-[#6]3-[#8]-[#6]3(-[#6])-[#6]
"{4-(8,8-DICHLORO-4,6,6-TRIMETHYL-3-OXATRICYCLO[5.1.0.0(2,4)]OCT-1-YL)MORPHOLINE}",CC1(C)CC2(C)OC2C3(C1C3(Cl)Cl)N4CCOCC4,[#6]12(-[#7]3-[#6]-[#6]-[#8]-[#6]-[#6]3)-[#6](-[#6]1(-[#17])-[#17])-[#6](-[#6])(-[#6])-[#6]-[#6](-[#8]4)(-[#6])-[#6]24
"{1A,6A-DIPHENYL-1A,6A-DIHYDRO-6H-INDENO[1,2-B]OXIREN-6-ONE}",O=C1c2ccccc2C3(OC13c4ccccc4)c5ccccc5,[#6]12(-[c]3:[c]:[c]:[c]:[c]:[c]3)-[#6](-[#8]1)(-[#6](-[c](:[c]:[c]:[c]:[c]4):[c]24)=[#8])-[c]5:[c]:[c]:[c]:[c]:[c]5
"{5ALPHA-PREGNAN-16,17-EPOXY-3BETA-OL-11,20-DIONE}",CC(=O)[C@@]12O[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C(=O)C[C@]23C,[#6@]12(-[#6](=[#8])-[#6])-[#6@](-[#1])(-[#8]1)-[#6]-[#6@@](-[#1])(-[#6@@]3(-[#1])-[#6@](-[#1])(-[#6](=[#8])-[#6]4)-[#6@]5(-[#6])-[#6@@](-[#1])(-[#6]-[#6]3)-[#6]-[#6@](-[#6]-[#6]5)-[#8])-[#6@@]24-[#6]
"{16,5ALPHA-ANDROSTEN-2ALPHA,3ALPHA-EPOXY-17-OL-17-ACETATE}",CC(=O)OC1=CC[C@H]2[C@@H]3CC[C@H]4C[C@@H]5O[C@@H]5C[C@]4(C)[C@H]3CC[C@]12C,[#6@]12(-[#6])-[#6@@](-[#1])(-[#6]-[#6]-[#6@@](-[#1])(-[#6@@]3(-[#1])-[#6@@](-[#6]-[#6]4)(-[#6])-[#6](=[#6]-[#6]3)-[#8]-[#6](=[#8])-[#6])-[#6@@]14-[#1])-[#6]-[#6@](-[#1])(-[#8]5)-[#6@@]5(-[#1])-[#6]2
{LAPIFERINE},C\C=C/C(=O)O[C@@H]1C[C@@H]2O[C@@H]2[C@H](O)[C@]3(C)CC[C@](O)(C(C)C)[C@@]13C,[#6@]12(-[#6])-[#6@@](-[#6])(-[#6]-[#6]-[#6@]1(-[#8])-[#6](-[#6])-[#6])-[#6@@](-[#8])-[#6@]3(-[#1])-[#6@@](-[#1])(-[#8]3)-[#6]-[#6@]2-[#8]-[#6](=[#8])\-[#6]=[#6]/-[#6]
{AKOS 211-03},CC1(C)OC1COc2c3C=CC(=O)Oc3cc4occc24,[c]1(-[#8]-[#6]-[#6]2-[#8]-[#6]2(-[#6])-[#6]):[c]3:[c](:[c]:[c](-[#8]-[#6](-[#6]=[#6]4)=[#8]):[c]14):[o]:[c]:[c]3
{AURORA KA-735},O=C1NCCOC12OC2c3ccccc3,[#6]12(-[#8]-[#6]-[#6]-[#7]-[#6]1=[#8])-[#8]-[#6]2-[c]3:[c]:[c]:[c]:[c]:[c]3
"{1-(2,3-EPOXYPROPYL)-4-(5-(4-METHOXYPHENYL)OXAZOL-2-YL)PYRIDINIUM TRIFLUOROMETHANESULFONATE}",COc1ccc(cc1)c2oc(nc2)c3cc[n+](CC4CO4)cc3.[O-]S(=O)(=O)C(F)(F)F,[c](:[n]1)(:[o]:[c](:[c]1)-[c]2:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]2)-[c](:[c]:[c]:[n+](-[#6]-[#6]3-[#8]-[#6]3):[c]4):[c]4
{GLYCIDAMIDE},NC(=O)C1CO1,[#6]1(-[#8]-[#6]1)-[#6](=[#8])-[#7]
{EPOXY METHACRYLATE},CC1(CO1)C(=O)O,[#6]1(-[#6])(-[#8]-[#6]1)-[#6](=[#8])-[#8]
"{2-PHENYL-2-(3-PHENYLOXIRAN-2-YL)-2,3-DIHYDRO-1,3-BENZOTHIAZOLE}",N1c2ccccc2SC1(C3OC3c4ccccc4)c5ccccc5,[#6]1(-[#16]-[c](:[c]2-[#7]1):[c]:[c]:[c]:[c]2)(-[c]3:[c]:[c]:[c]:[c]:[c]3)-[#6]4-[#8]-[#6]4-[c]5:[c]:[c]:[c]:[c]:[c]5
{AROMADENDRENE OXIDE 2},C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@@H](CC[C@@]24CO4)C3(C)C,[#6@]12(-[#6]-[#6]-[#6@@](-[#1])(-[#6]3(-[#6])-[#6])-[#6@]3(-[#1])-[#6@](-[#1])(-[#6@@](-[#6]-[#6]4)-[#6])-[#6@]14-[#1])-[#8]-[#6]2
"{4,10B-DIMETHYL-4,5-EPOXYOCTAL-3-ONE}",C[C@]12CCCCC13OC3(C)C(=O)C=C2,[#6]12(-[#6@@](-[#6])(-[#6]=[#6]-[#6]3=[#8])-[#6]-[#6]-[#6]-[#6]1)-[#6]3(-[#8]2)-[#6]
{CYCLOHEXYL GLYCIDATE},O=C(OC1CCCCC1)C2CO2,[#6]1(-[#8]-[#6]1)-[#6](=[#8])-[#8]-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]2
{ETHYL-P-CUMINYL GLYCIDATE},CCOC(=O)C1OC1Cc2ccc(cc2)C(C)C,[#6]1(-[#6](=[#8])-[#8]-[#6]-[#6])-[#8]-[#6]1-[#6]-[c]2:[c]:[c]:[c](-[#6](-[#6])-[#6]):[c]:[c]2
"{3,4-METHYLENEDIOXYPHENYLGLYCIDIC ESTER}",O=C(Oc1ccc2OCOc2c1)C3CO3,[c]12:[c](-[#8]-[#6]-[#8]1):[c]:[c]:[c](-[#8]-[#6](=[#8])-[#6]3-[#8]-[#6]3):[c]2
"{2,3-EPOXY-1,2,3,4-TETRAHYDROANTHRACENE}",C1C2OC2Cc3cc4ccccc4cc13,[#6]12-[#6](-[#8]1)-[#6]-[c](:[c]3-[#6]2):[c]:[c](:[c]4:[c]3):[c]:[c]:[c]:[c]4
"{6A-METHYL-5A,6,6A,7,8,9,9A,9B,10,11-DECAHYDROCYCLOPENTA[7,8]PHENANTHRO[4B,5-B]OXIRENE-2,7-DIOL}",CC12C[C@H]3O[C@@]34C(CCc5cc(O)ccc45)C1CCC2O,[#6@]12(-[#6@](-[#8]1)-[#6]-[#6](-[#6])(-[#6](-[#6]-[#6]3)-[#8])-[#6]34)-[#6]4-[#6]-[#6]-[c](:[c]:[c](:[c]:[c]5)-[#8]):[c]25
{ETOMOXIR},CCOC(=O)C1(CCCCCCOc2ccc(Cl)cc2)CO1,[#6]1(-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#8]-[c]2:[c]:[c]:[c](-[#17]):[c]:[c]2)(-[#6](=[#8])-[#8]-[#6]-[#6])-[#8]-[#6]1
{OXANAMIDE},CCCC1OC1(CC)C(=O)N,[#6]1(-[#6]-[#6])(-[#6](=[#8])-[#7])-[#8]-[#6]1-[#6]-[#6]-[#6]
{CLOMOXIR},OC(=O)C1(CCCCCc2ccc(Cl)cc2)CO1,[#6]1(-[#6](=[#8])-[#8])(-[#6]-[#6]-[#6]-[#6]-[#6]-[c]2:[c]:[c]:[c](-[#17]):[c]:[c]2)-[#8]-[#6]1
