Name,Canonical_Smiles,SMARTS
"{Isoamyl ether, 99 %}",CCC(C)COCC(C)CC.CC(C)CCOCCC(C)C,[#6]-[#6](-[#6])-[#6]-[#6]-[#8]-[#6]-[#6]-[#6](-[#6])-[#6]
"{Dihexyl ether, 97 %}",CCCCCCOCCCCCC,[#8](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]
"{Butyl ethyl ether, 99 %}",CCCCOCC,[#6](-[#8]-[#6]-[#6])-[#6]-[#6]-[#6]
"{4-Methoxybenzyl chloride, 98 %}",COc1ccc(CCl)cc1,[#6](-[c]1:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]1)-[#17]
"{5-Methoxyindan, 97 %}",COc1ccc2CCCc2c1,[#8](-[c]1:[c]:[c]:[c](-[#6]-[#6]-[#6]2):[c]2:[c]1)-[#6]
"{2,3-Dimethoxy-1,3-butadiene, 95 %}",COC(=C)C(=C)OC,[#6](=[#6])(-[#8]-[#6])-[#6](=[#6])-[#8]-[#6]
"{1-tert-Butoxy-2-ethoxyethane, 98 %}",CCOCCOC(C)(C)C,[#6](-[#6]-[#8]-[#6]-[#6])-[#8]-[#6](-[#6])(-[#6])-[#6]
"{1,2-Dimethoxypropane, 99+ %}",COCC(C)OC,[#6](-[#6])(-[#8]-[#6])-[#6]-[#8]-[#6]
"{tert-Amyl methyl ether, 97 %}",CCC(C)(C)OC,[#6](-[#6])(-[#6])(-[#8]-[#6])-[#6]-[#6]
"{Eugenol methyl ether, 99 %}",COc1ccc(CC=C)cc1OC,[#8](-[c]1:[c]:[c](-[#6]-[#6]=[#6]):[c]:[c]:[c]1-[#8]-[#6])-[#6]
"{Bis(2,2,2-trifluoroethyl) ether, 99 %}",FC(F)(F)COCC(F)(F)F,[#6](-[#8]-[#6]-[#6](-[#9])(-[#9])-[#9])-[#6](-[#9])(-[#9])-[#9]
"{4-Bromo-2-fluoroanisole, 97 %}",COc1ccc(Br)cc1F,[#8](-[c]1:[c]:[c]:[c](-[#35]):[c]:[c]1-[#9])-[#6]
"{2,4-Dibromoanisole, 98 %}",COc1ccc(Br)cc1Br,[#8](-[c]1:[c]:[c]:[c](-[#35]):[c]:[c]1-[#35])-[#6]
"{4-Chlorophenyl 2-bromoethyl ether, 98 %}",Clc1ccc(OCCBr)cc1,[#8](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1)-[#6]-[#6]-[#35]
"{(Trifluoromethoxy)benzene, 99 %}",FC(F)(F)Oc1ccccc1,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6](-[#9])(-[#9])-[#9]
"{1-Bromo-4-(trifluoromethoxy)benzene, 99 %}",FC(F)(F)Oc1ccc(Br)cc1,[#8](-[c]1:[c]:[c]:[c](-[#35]):[c]:[c]1)-[#6](-[#9])(-[#9])-[#9]
"{(1R)-(-)-Nopol benzyl ether, 95 %}",CC1(C)C2CC=C(CCOCc3ccccc3)C1C2,[#6]1=[#6](-[#6]-[#6]-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6](-[#6@](-[#6])(-[#6])-[#6]3-[#6]1)-[#6]3
"{1-Bromo-4-(1,1,2,2-tetrafluoroethoxy)benzene, 96 %}",FC(F)C(F)(F)Oc1ccc(Br)cc1,[c]1(-[#35]):[c]:[c]:[c](-[#8]-[#6](-[#9])(-[#9])-[#6](-[#1])(-[#9])-[#9]):[c]:[c]1
"{1-Bromo-3-(trifluoromethoxy)benzene, 99 %}",FC(F)(F)Oc1cccc(Br)c1,[#8](-[c]1:[c]:[c]:[c]:[c](-[#35]):[c]1)-[#6](-[#9])(-[#9])-[#9]
"{1,3-Dibromo-5-(trifluoromethoxy)benzene, 99 %}",FC(F)(F)Oc1cc(Br)cc(Br)c1,[#35]-[c](:[c]:[c](-[#8]-[#6](-[#9])(-[#9])-[#9]):[c]:[c]1-[#35]):[c]1
"{2-Ethoxyanisole, 98 %}",CCOc1ccccc1OC,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8]-[#6])-[#6]-[#6]
{2-Methoxyethoxymethyl chloride},COCCOCCl,[#6](-[#8]-[#6]-[#17])-[#6]-[#8]-[#6]
