Name,Canonical_Smiles,SMARTS,,,,,,,,,,
"{2,4,4-Trimethyl-1-pentanol, 98 %}",CC(CO)CC(C)(C)C,[#6](-[#6](-[#6])-[#6]-[#8])-[#6](-[#6])(-[#6])-[#6],,,,,,,,,,
"{3-Cyclopentyl-1-propanol, 99 %}",OCCCC1CCCC1,[#6](-[#6]1-[#6]-[#6]-[#6]-[#6]1)-[#6]-[#6]-[#8],,,,,,,,,,
"{6-Methyl-3-cyclohexene-1-methanol,mixture of cis and trans, 97 %}",CC1CC=CCC1CO,[#6](-[#6]1-[#6]-[#6]=[#6]-[#6]-[#6]1-[#6])-[#8],,,,,,,,,,
"{2-tert-Butylcyclohexanol,mixture of isomers, 99 %}",CC(C)(C)C1CCCCC1O,[#6](-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]1-[#8])(-[#6])(-[#6])-[#6],,,,,,,,,,
"{1-Adamantaneethanol, 98 %}",OCCC12CC3CC(CC(C3)C1)C2,[#6](-[#6]12-[#6]-[#6](-[#6]-[#6](-[#6]-[#6]3-[#6]1)-[#6]2)-[#6]3)-[#6]-[#8],,,,,,,,,,
"{4-(4-Methoxyphenyl)-1-butanol, 99 %}",CCCC(O)c1ccc(OC)cc1,[#6](-[c]1:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]1)(-[#8])-[#6]-[#6]-[#6],,,,,,,,,,
"{2-Biphenylmethanol, 99 %}",OCc1ccccc1c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#8],,,,,,,,,,
"{3,3-Diphenyl-1-propanol, 98 %}",OCCC(c1ccccc1)c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]-[#6]-[#8],,,,,,,,,,
"{1,1-Diphenyl-2-propanol, 98 %}",CC(O)C(c1ccccc1)c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6](-[#8])-[#6],,,,,,,,,,
"{Chrysanthemyl alcohol,mixture of cis and trans, 98 %}",CC(=C[C@H]1C(CO)C1(C)C)C,[#6](/-[#6@@]1-[#6](-[#6])(-[#6])-[#6]1-[#6]-[#8])=[#6](/-[#6])\-[#6],,,,,,,,,,
"{2-Propenylphenol,mixture of cis and trans, 98 %}",C\C=C\c1ccccc1O,[#6](/-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8])=[#6]\-[#6],,,,,,,,,,
"{Dihydromyrcenol, 99 %}",CC(CCCC(C)(C)O)C=C,[#6](-[#6](-[#6])-[#6]=[#6])-[#6]-[#6]-[#6](-[#8])(-[#6])-[#6],,,,,,,,,,
"{(1R)-endo-(+)-Fenchyl alcohol, 96 %}",CC12CC[C@@H](C1)C(C)(C)C2O,[#6]-[#6]12-[#6]-[#6@](-[#6]-[#6]1)-[#6](-[#6])(-[#6])-[#6]2-[#8],,,,,,,,,,
"{2,3,4,5,6-Pentafluorobenzyl alcohol, 98 %}",OCc1c(F)c(F)c(F)c(F)c1F,[#6](-[c]1:[c](:[c](-[#9]):[c](-[#9]):[c](-[#9]):[c]1-[#9])-[#9])-[#8],,,,,,,,,,
"{5-Bromo-2-hydroxybenzyl alcohol, 98+ %}",OCc1cc(Br)ccc1O,[#6](-[c]1:[c]:[c](-[#35]):[c]:[c]:[c]1-[#8])-[#8],,,,,,,,,,
"{2-(3,4-Dimethoxyphenyl)ethanol, 98 %}",COc1ccc(CCO)cc1OC,[#8](-[c]1:[c]:[c](-[#6]-[#6]-[#8]):[c]:[c]:[c]1-[#8]-[#6])-[#6],,,,,,,,,,
"{3-Methyl-2-cyclohexen-1-ol, 96 %}",CC1=CC(O)CCC1,[#6]-[#6]1=[#6]-[#6](-[#6]-[#6]-[#6]1)-[#8],,,,,,,,,,
"{(S)-(+)-1-(9-Anthryl)-2,2,2-trifluoroethanol, 98+ %}",OC(c1c2ccccc2cc3ccccc13)C(F)(F)F,[#6](-[c]1:[c]2:[c](:[c]:[c]:[c]:[c]2):[c]:[c](:[c]:[c]:[c]:[c]3):[c]13)(-[#8])-[#6](-[#9])(-[#9])-[#9],,,,,,,,,,
"{3,5-Diaminobenzyl alcohol dihydrochloride, 97 %}",Cl.Nc1cc(N)cc(CO)c1,[#6](-[c]1:[c]:[c](-[#7]):[c]:[c](-[#7]):[c]1)-[#8],,,,,,,,,,
"{(S)-(-)-Perillyl alcohol, 96 %}",CC(=C)C1CCC(=CC1)CO,[#6](-[#6]1-[#6]-[#6]=[#6](-[#6]-[#8])-[#6]-[#6]1)(=[#6])-[#6],,,,,,,,,,
"{9-Phenyl-9-xanthenol, 98 %}",OC1(c2ccccc2)c3ccccc3Oc4ccccc14,[#8]-[#6]1(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[c]3:[c](:[c]:[c]:[c]:[c]3)-[#8]-[c](:[c]:[c]:[c]:[c]4):[c]14,,,,,,,,,,
"{2,6-Bis(hydroxymethyl)-p-cresol, 95 %}",Cc1cc(CO)c(O)c(CO)c1,[#6](-[c]1:[c]:[c](-[#6]):[c]:[c](-[#6]-[#8]):[c]1-[#8])-[#8],,,,,,,,,,
"{trans-2-Ethoxy-5-(1-propenyl)phenol, 97 %}",CCOc1ccc(\C=C\C)cc1O,[#8](-[c]1:[c]:[c]:[c](\-[#6]=[#6]\-[#6]):[c]:[c]1-[#8])-[#6]-[#6],,,,,,,,,,
"{5-Methoxyresorcinol, 98 %}",COc1cc(O)cc(O)c1,[#8](-[c]1:[c]:[c](-[#8]):[c]:[c](-[#8]):[c]1)-[#6],,,,,,,,,,
"{2-(2-Hydroxyethoxy)phenol, 98 %}",OCCOc1ccccc1O,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8])-[#6]-[#6]-[#8],,,,,,,,,,
"{1-(2-Methoxyphenyl)-2-propanol, 98 %}",COc1ccccc1CC(C)O,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8]-[#6])-[#6](-[#8])-[#6],,,,,,,,,,
"{2-(Trifluoromethyl)phenethyl alcohol, 97 %}",OCCc1ccccc1C(F)(F)F,[c]1(-[#6](-[#9])(-[#9])-[#9]):[c](-[#6]-[#6]-[#8]):[c]:[c]:[c]:[c]1,,,,,,,,,,
"{D(-)-Fructose, 99+ %}",OCC(O)C(O)C(O)C(=O)CO,[#6](-[#8])(-[#6](-[#8])-[#6]-[#8])-[#6](-[#8])-[#6](=[#8])-[#6]-[#8],,,,,,,,,,
"{2-Cyclopentylphenol, gradetech. 95 %}",Oc1ccccc1C2CCCC2,[#8]-[c]1:[c]:[c]:[c]:[c]:[c]1-[#6]2-[#6]-[#6]-[#6]-[#6]2,,,,,,,,,,
"{(S)-cis-Verbenol, 95 %}",CC1=CC(O)C2CC1C2(C)C,[#6]-[#6]1(-[#6](-[#6](-[#8])-[#6]=[#6](-[#6])-[#6]12)-[#6]2)-[#6],,,,,,,,,,
"{5-Norbornene-2-methanol, 98 % mixture of endo and exo}",OCC1CC2CC1C=C2,[#6](-[#6]1-[#6]-[#6](-[#6]=[#6]2)-[#6]-[#6]12)-[#8],,,,,,,,,,
"{4-Ethoxyphenol, 99 %}",CCOc1ccc(O)cc1,[#8](-[c]1:[c]:[c]:[c](-[#8]):[c]:[c]1)-[#6]-[#6],,,,,,,,,,
"{2-(2-Chlorophenyl)hydroquinone hydrate, 95 %}",O.Oc1ccc(O)c(c1)c2ccccc2Cl,[#17]-[c]1:[c]:[c]:[c]:[c]:[c]1-[c](:[c]:[c](-[#8]):[c]2):[c](-[#8]):[c]2,,,,,,,,,,
"{2-Phenyl-2-butanol, 99 %}",CCC(C)(O)c1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#8])(-[#6])-[#6]-[#6],,,,,,,,,,
